"Step","baseline_runseed=4 - training/episode/length","baseline_runseed=4 - training/episode/length__MIN","baseline_runseed=4 - training/episode/length__MAX","baseline_runseed=3 - training/episode/length","baseline_runseed=3 - training/episode/length__MIN","baseline_runseed=3 - training/episode/length__MAX","baseline_runseed=2 - training/episode/length","baseline_runseed=2 - training/episode/length__MIN","baseline_runseed=2 - training/episode/length__MAX","baseline_runseed=1 - training/episode/length","baseline_runseed=1 - training/episode/length__MIN","baseline_runseed=1 - training/episode/length__MAX","baseline_runseed=0 - training/episode/length","baseline_runseed=0 - training/episode/length__MIN","baseline_runseed=0 - training/episode/length__MAX"
"21551552","","","","","","","","","","","","","763","763","763"
"21552832","","","","","","","","","","2128","2128","2128","","",""
"21553088","","","","","","","","","","","","","226","226","226"
"21553344","","","","","","","","","","","","","230","230","230"
"21553920","","","","","","","","","","","","","220","220","220"
"21555136","","","","","","","5000","5000","5000","","","","","",""
"21556736","","","","","","","","","","","","","364","364","364"
"21556864","","","","","","","","","","2650","2650","2650","","",""
"21557184","","","","397","397","397","","","","","","","527","527","527"
"21557568","","","","","","","","","","","","","157","157","157"
"21557632","","","","","","","","","","3438","3438","3438","","",""
"21558592","","","","","","","","","","","","","350","350","350"
"21559616","","","","","","","930","930","930","","","","","",""
"21560064","","","","","","","","","","967","967","967","","",""
"21560640","","","","1319","1319","1319","","","","","","","","",""
"21562304","","","","","","","","","","","","","793","793","793"
"21562368","","","","","","","","","","","","","503","503","503"
"21562944","","","","","","","","","","","","","420","420","420"
"21563520","","","","1878","1878","1878","","","","","","","","",""
"21564928","5000","5000","5000","","","","","","","","","","","",""
"21565696","","","","","","","4526","4526","4526","","","","","",""
"21566016","","","","","","","","","","","","","1148","1148","1148"
"21566848","","","","","","","","","","","","","125","125","125"
"21567744","","","","","","","","","","3641","3641","3641","","",""
"21567808","","","","","","","","","","","","","447","447","447"
"21568320","","","","","","","","","","531","531","531","","",""
"21568384","","","","","","","5000","5000","5000","","","","","",""
"21568704","","","","","","","2231","2231","2231","","","","","",""
"21569664","","","","","","","5000","5000","5000","","","","212","212","212"
"21570240","","","","","","","","","","","","","1005","1005","1005"
"21570496","","","","","","","","","","","","","769","769","769"
"21571008","","","","","","","","","","3177","3177","3177","","",""
"21571136","","","","","","","","","","","","","674","674","674"
"21572032","","","","","","","","","","","","","151","151","151"
"21572672","","","","","","","","","","1621","1621","1621","","",""
"21573440","","","","","","","","","","","","","261","261","261"
"21573760","","","","","","","1829","1829","1829","","","","","",""
"21573888","","","","","","","","","","","","","190","190","190"
"21574400","","","","","","","5000","5000","5000","","","","182","182","182"
"21574528","","","","","","","","","","1697","1697","1697","","",""
"21574656","","","","","","","","","","2581","2581","2581","","",""
"21575360","","","","","","","5000","5000","5000","","","","","",""
"21576128","4394","4394","4394","","","","","","","","","","","",""
"21576256","","","","","","","5000","5000","5000","","","","","",""
"21576576","","","","","","","1698","1698","1698","","","","","",""
"21577600","","","","","","","","","","","","","297","297","297"
"21577664","","","","","","","","","","2614","2614","2614","","",""
"21578048","","","","","","","","","","","","","1228","1228","1228"
"21578112","","","","","","","","","","","","","161","161","161"
"21578240","","","","","","","","","","","","","137","137","137"
"21578432","4466","4466","4466","","","","","","","","","","","",""
"21580352","","","","","","","","","","","","","130","130","130"
"21580736","","","","","","","5000","5000","5000","","","","","",""
"21581696","","","","","","","4530","4530","4530","","","","","",""
"21582144","","","","","","","5000","5000","5000","","","","","",""
"21583360","","","","","","","","","","4757","4757","4757","","",""
"21586624","","","","4670","4670","4670","","","","","","","","",""
"21587008","","","","1943","1943","1943","","","","","","","","",""
"21587904","","","","","","","","","","2447","2447","2447","","",""
"21588672","","","","1524","1524","1524","","","","","","","","",""
"21588736","","","","","","","","","","600","600","600","","",""
"21589376","","","","","","","","","","2481","2481","2481","","",""
"21590016","","","","","","","","","","2812","2812","2812","","",""
"21590144","","","","","","","","","","","","","364","364","364"
"21590208","","","","","","","","","","245","245","245","","",""
"21590464","","","","","","","4515","4515","4515","","","","","",""
"21590720","2582","2582","2582","","","","","","","","","","","",""
"21590912","","","","","","","","","","","","","322","322","322"
"21591680","","","","","","","","","","1793","1793","1793","","",""
"21591872","","","","","","","","","","4243","4243","4243","","",""
"21592000","","","","","","","","","","1367","1367","1367","","",""
"21592960","5000","5000","5000","","","","","","","","","","","",""
"21593344","","","","","","","","","","4288","4288","4288","","",""
"21594432","","","","","","","3572","3572","3572","","","","","",""
"21594816","","","","","","","","","","912","912","912","109","109","109"
"21595136","","","","","","","","","","","","","603","603","603"
"21595456","","","","","","","4982","4982","4982","","","","","",""
"21596992","","","","523","523","523","","","","","","","","",""
"21597248","","","","","","","3536","3536","3536","","","","","",""
"21598016","","","","","","","","","","1809","1809","1809","","",""
"21598592","","","","","","","","","","238","238","238","","",""
"21598848","4947","4947","4947","2581","2581","2581","","","","","","","","",""
"21598912","","","","3718","3718","3718","","","","","","","","",""
"21600384","","","","","","","","","","5000","5000","5000","","",""
"21600768","5000","5000","5000","","","","","","","","","","","",""
"21601152","","","","3749","3749","3749","","","","","","","","",""
"21601536","","","","","","","","","","","","","374","374","374"
"21602560","","","","","","","2470","2470","2470","","","","","",""
"21604224","","","","","","","","","","","","","378","378","378"
"21604288","5000","5000","5000","","","","","","","","","","","",""
"21605824","","","","","","","","","","2694","2694","2694","","",""
"21607168","","","","","","","2493","2493","2493","","","","","",""
"21608832","5000","5000","5000","","","","","","","","","","","",""
"21609152","","","","5000","5000","5000","","","","","","","","",""
"21610048","5000","5000","5000","","","","","","","","","","","",""
"21610496","","","","","","","","","","","","","220","220","220"
"21611072","","","","2709","2709","2709","","","","","","","","",""
"21612672","","","","","","","","","","","","","192","192","192"
"21614016","","","","","","","","","","","","","327","327","327"
"21614080","4059","4059","4059","","","","","","","","","","","",""
"21614400","","","","","","","","","","2584","2584","2584","","",""
"21615040","","","","","","","","","","","","","545","545","545"
"21616000","","","","","","","","","","","","","607","607","607"
"21616640","4104","4104","4104","","","","","","","","","","615","615","615"
"21617408","","","","","","","","","","","","","206","206","206"
"21617600","","","","","","","3964","3964","3964","","","","","",""
"21617664","","","","","","","","","","","","","384","384","384"
"21618112","","","","4540","4540","4540","","","","","","","","",""
"21618304","","","","","","","","","","","","","575","575","575"
"21618752","","","","5000","5000","5000","","","","","","","","",""
"21619584","","","","","","","","","","2109","2109","2109","","",""
"21619968","","","","","","","5000","5000","5000","","","","","",""
"21620032","","","","","","","","","","","","","101","101","101"
"21620160","","","","","","","","","","","","","264","264","264"
"21621184","","","","","","","","","","","","","133","133","133"
"21621568","","","","","","","1103","1103","1103","","","","","",""
"21621952","","","","","","","","","","","","","485","485","485"
"21622016","","","","","","","","","","1248","1248","1248","227","227","227"
"21622272","","","","","","","","","","1638","1638","1638","","",""
"21622464","","","","","","","","","","","","","402","402","402"
"21622656","5000","5000","5000","","","","","","","","","","","",""
"21622976","","","","","","","","","","3948","3948","3948","","",""
"21624128","5000","5000","5000","","","","","","","","","","","",""
"21624384","","","","1841","1841","1841","","","","","","","","",""
"21625472","","","","","","","","","","","","","454","454","454"
"21625792","","","","","","","","","","1077","1077","1077","","",""
"21626304","","","","","","","","","","","","","748","748","748"
"21626432","","","","","","","","","","2811","2811","2811","","",""
"21626816","","","","","","","","","","1427","1427","1427","","",""
"21628160","","","","","","","","","","3328","3328","3328","","",""
"21628544","","","","","","","5000","5000","5000","","","","","",""
"21629376","5000","5000","5000","","","","","","","","","","","",""
"21629504","","","","","","","","","","","","","283","283","283"
"21629760","","","","","","","","","","3765","3765","3765","","",""
"21630592","","","","","","","2247","2247","2247","","","","","",""
"21631168","5000","5000","5000","","","","","","","","","","","",""
"21632256","","","","","","","","","","1008","1008","1008","","",""
"21632960","3159","3159","3159","","","","","","","","","","","",""
"21633024","","","","","","","","","","","","","431","431","431"
"21633088","","","","","","","","","","5000","5000","5000","","",""
"21633856","","","","","","","1426","1426","1426","633","633","633","","",""
"21634368","","","","","","","","","","3704","3704","3704","","",""
"21635072","2345","2345","2345","","","","","","","","","","","",""
"21635136","","","","","","","","","","2667","2667","2667","","",""
"21635264","","","","","","","","","","","","","153","153","153"
"21636160","","","","","","","","","","","","","705","705","705"
"21636544","","","","","","","","","","","","","282","282","282"
"21637184","","","","","","","","","","","","","479","479","479"
"21637888","","","","","","","","","","","","","391","391","391"
"21638784","","","","","","","5000","5000","5000","","","","","",""
"21640256","","","","","","","","","","","","","1236","1236","1236"
"21641024","","","","","","","5000","5000","5000","","","","","",""
"21641792","","","","","","","","","","","","","213","213","213"
"21643136","","","","","","","","","","","","","1017","1017","1017"
"21643200","","","","","","","5000","5000","5000","","","","","",""
"21643328","","","","","","","","","","","","","1003","1003","1003"
"21643520","","","","","","","","","","","","","408","408","408"
"21643904","","","","","","","","","","1851","1851","1851","","",""
"21644032","","","","","","","","","","275","275","275","","",""
"21644160","","","","","","","","","","1352","1352","1352","","",""
"21645120","","","","","","","1406","1406","1406","","","","","",""
"21645632","","","","","","","","","","","","","241","241","241"
"21646528","","","","","","","2233","2233","2233","","","","","",""
"21647040","","","","","","","","","","1472","1472","1472","","",""
"21647360","","","","","","","","","","","","","356","356","356"
"21648000","","","","","","","","","","2676","2676","2676","","",""
"21648448","","","","","","","","","","","","","141","141","141"
"21649216","","","","","","","","","","","","","691","691","691"
"21649408","","","","","","","5000","5000","5000","","","","","",""
"21649472","","","","","","","","","","","","","245","245","245"
"21649664","","","","","","","","","","","","","544","544","544"
"21650496","","","","","","","1420","1420","1420","3081","3081","3081","576","576","576"
"21651520","","","","","","","","","","2251","2251","2251","213","213","213"
"21651712","","","","","","","","","","938","938","938","","",""
"21652288","","","","","","","4290","4290","4290","","","","","",""
"21652416","","","","","","","1293","1293","1293","","","","","",""
"21652672","3991","3991","3991","","","","","","","","","","","",""
"21653696","","","","","","","","","","","","","1073","1073","1073"
"21654464","","","","2679","2679","2679","","","","","","","","",""
"21654784","","","","","","","","","","168","168","168","","",""
"21655040","","","","","","","","","","","","","1400","1400","1400"
"21655808","","","","","","","4529","4529","4529","","","","","",""
"21655936","","","","","","","4616","4616","4616","","","","","",""
"21656832","4456","4456","4456","","","","","","","","","","","",""
"21657088","","","","","","","5000","5000","5000","","","","","",""
"21657408","","","","","","","","","","1073","1073","1073","","",""
"21658304","","","","","","","","","","","","","142","142","142"
"21658816","","","","","","","","","","","","","906","906","906"
"21658880","","","","967","967","967","","","","","","","","",""
"21658944","","","","","","","2852","2852","2852","","","","","",""
"21659584","","","","","","","4633","4633","4633","","","","","",""
"21659840","","","","","","","","","","2308","2308","2308","258","258","258"
"21660544","","","","5000","5000","5000","","","","","","","","",""
"21661120","","","","","","","","","","","","","404","404","404"
"21661184","","","","4132","4132","4132","","","","","","","","",""
"21661248","","","","","","","2058","2058","2058","","","","","",""
"21661888","","","","","","","","","","1120","1120","1120","","",""
"21662080","2783","2783","2783","","","","","","","","","","","",""
"21663360","","","","5000","5000","5000","","","","","","","","",""
"21663488","5000","5000","5000","","","","","","","","","","","",""
"21663616","","","","","","","1365","1365","1365","","","","","",""
"21664064","","","","","","","","","","497","497","497","","",""
"21664128","","","","","","","5000","5000","5000","","","","","",""
"21664576","","","","5000","5000","5000","","","","","","","","",""
"21664832","","","","","","","","","","","","","581","581","581"
"21664960","","","","5000","5000","5000","","","","","","","","",""
"21665280","4314","4314","4314","","","","","","","","","","","",""
"21665536","","","","","","","","","","1046","1046","1046","","",""
"21665664","","","","","","","5000","5000","5000","","","","","",""
"21665792","5000","5000","5000","","","","","","","","","","","",""
"21666560","","","","","","","","","","","","","487","487","487"
"21667136","","","","","","","","","","2701","2701","2701","","",""
"21667584","","","","","","","","","","1977","1977","1977","","",""
"21667648","","","","","","","","","","","","","403","403","403"
"21667712","","","","2607","2607","2607","721","721","721","","","","","",""
"21668928","5000","5000","5000","","","","","","","","","","","",""
"21669120","","","","","","","208","208","208","","","","","",""
"21669632","","","","","","","","","","","","","127","127","127"
"21669952","","","","","","","","","","","","","538","538","538"
"21670336","","","","","","","5000","5000","5000","","","","","",""
"21670912","4185","4185","4185","","","","","","","","","","","",""
"21670976","","","","5000","5000","5000","","","","","","","","",""
"21671680","","","","","","","","","","","","","589","589","589"
"21671872","","","","","","","","","","574","574","574","","",""
"21673728","","","","","","","","","","","","","241","241","241"
"21677376","","","","5000","5000","5000","","","","","","","","",""
"21677632","","","","","","","","","","1207","1207","1207","","",""
"21677824","","","","","","","","","","","","","536","536","536"
"21678336","","","","","","","","","","","","","385","385","385"
"21680000","","","","","","","","","","","","","236","236","236"
"21680640","","","","","","","","","","","","","179","179","179"
"21681024","","","","","","","5000","5000","5000","","","","","",""
"21681152","","","","","","","","","","","","","249","249","249"
"21681344","","","","","","","5000","5000","5000","","","","","",""
"21681728","","","","","","","","","","253","253","253","","",""
"21681984","","","","","","","","","","1470","1470","1470","","",""
"21682240","","","","","","","","","","","","","130","130","130"
"21682624","","","","","","","","","","2337","2337","2337","","",""
"21683392","5000","5000","5000","","","","","","","","","","","",""
"21683520","","","","","","","","","","","","","290","290","290"
"21684160","","","","3757","3757","3757","","","","","","","","",""
"21684992","","","","","","","","","","","","","339","339","339"
"21685184","4706","4706","4706","","","","","","","","","","","",""
"21685248","","","","5000","5000","5000","","","","","","","","",""
"21685632","","","","","","","","","","","","","70","70","70"
"21687360","","","","2808","2808","2808","","","","","","","","",""
"21688000","","","","","","","","","","","","","649","649","649"
"21688128","","","","","","","","","","1504","1504","1504","","",""
"21688704","","","","","","","614","614","614","","","","","",""
"21688832","","","","","","","1773","1773","1773","","","","","",""
"21690112","","","","","","","","","","","","","827","827","827"
"21691264","","","","","","","","","","","","","395","395","395"
"21691904","","","","","","","","","","","","","153","153","153"
"21693056","","","","","","","1820","1820","1820","","","","","",""
"21694080","","","","5000","5000","5000","","","","","","","","",""
"21695104","","","","","","","4548","4548","4548","","","","","",""
"21696512","4604","4604","4604","","","","","","","","","","","",""
"21696704","5000","5000","5000","","","","","","","","","","","",""
"21697344","","","","","","","","","","1917","1917","1917","","",""
"21698432","","","","","","","1948","1948","1948","","","","","",""
"21698624","1187","1187","1187","","","","","","","","","","","",""
"21698816","3629","3629","3629","2713","2713","2713","","","","","","","","",""
"21699200","","","","","","","","","","1147","1147","1147","","",""
"21699328","","","","","","","","","","4772","4772","4772","","",""
"21699456","","","","","","","","","","","","","132","132","132"
"21699584","","","","","","","","","","1091","1091","1091","","",""
"21699840","","","","","","","","","","1591","1591","1591","","",""
"21700224","5000","5000","5000","","","","","","","","","","","",""
"21700288","","","","1424","1424","1424","","","","","","","","",""
"21700608","","","","","","","","","","","","","146","146","146"
"21701120","","","","","","","","","","2643","2643","2643","","",""
"21701632","","","","5000","5000","5000","","","","","","","","",""
"21702208","5000","5000","5000","","","","","","","","","","","",""
"21703168","","","","","","","","","","2487","2487","2487","","",""
"21703488","3981","3981","3981","","","","","","","","","","","",""
"21703616","","","","","","","1706","1706","1706","","","","","",""
"21703680","5000","5000","5000","","","","","","","","","","","",""
"21705664","","","","3820","3820","3820","","","","","","","","",""
"21705856","3951","3951","3951","","","","","","","","","","597","597","597"
"21705920","","","","","","","","","","1821","1821","1821","","",""
"21705984","","","","","","","","","","2498","2498","2498","","",""
"21706624","","","","","","","961","961","961","","","","","",""
"21708224","","","","","","","2874","2874","2874","","","","","",""
"21708544","","","","","","","","","","640","640","640","","",""
"21709056","","","","","","","4850","4850","4850","","","","","",""
"21709568","","","","","","","","","","3708","3708","3708","","",""
"21710464","1714","1714","1714","","","","","","","3494","3494","3494","","",""
"21711360","","","","","","","","","","","","","332","332","332"
"21711616","","","","","","","","","","","","","442","442","442"
"21712064","","","","1928","1928","1928","","","","","","","","",""
"21713536","","","","","","","4674","4674","4674","","","","446","446","446"
"21714048","","","","","","","4503","4503","4503","","","","","",""
"21715776","","","","","","","","","","3420","3420","3420","","",""
"21716224","","","","","","","3978","3978","3978","","","","","",""
"21717184","","","","","","","","","","","","","590","590","590"
"21717504","","","","","","","5000","5000","5000","","","","","",""
"21717824","","","","","","","","","","","","","76","76","76"
"21718144","3440","3440","3440","","","","","","","","","","","",""
"21718400","","","","","","","","","","2775","2775","2775","","",""
"21720000","","","","","","","","","","2968","2968","2968","","",""
"21720320","","","","924","924","924","","","","","","","","",""
"21720576","","","","","","","","","","","","","458","458","458"
"21721152","","","","","","","","","","","","","305","305","305"
"21721280","1518","1518","1518","","","","","","","","","","","",""
"21721472","","","","","","","","","","","","","154","154","154"
"21721600","5000","5000","5000","","","","","","","","","","","",""
"21722048","5000","5000","5000","","","","","","","","","","","",""
"21722176","5000","5000","5000","","","","","","","","","","","",""
"21722368","","","","1929","1929","1929","","","","","","","","",""
"21724096","","","","","","","","","","","","","157","157","157"
"21724160","","","","","","","","","","","","","386","386","386"
"21724928","","","","","","","","","","","","","137","137","137"
"21725568","","","","","","","","","","1065","1065","1065","","",""
"21726528","5000","5000","5000","","","","","","","","","","","",""
"21727296","","","","","","","","","","1570","1570","1570","","",""
"21727872","","","","5000","5000","5000","","","","","","","","",""
"21727936","4850","4850","4850","","","","","","","","","","","",""
"21728128","","","","","","","","","","193","193","193","","",""
"21729536","","","","3573","3573","3573","","","","","","","","",""
"21729984","","","","","","","1139","1139","1139","","","","79","79","79"
"21730112","","","","","","","579","579","579","","","","","",""
"21731072","","","","","","","","","","","","","476","476","476"
"21731264","5000","5000","5000","","","","","","","","","","","",""
"21731456","","","","2257","2257","2257","","","","","","","","",""
"21732032","","","","","","","","","","4529","4529","4529","","",""
"21732224","","","","2735","2735","2735","","","","","","","147","147","147"
"21735104","","","","5000","5000","5000","","","","","","","","",""
"21736384","1139","1139","1139","","","","","","","","","","","",""
"21737664","","","","","","","","","","","","","389","389","389"
"21738048","","","","","","","","","","","","","61","61","61"
"21738432","","","","","","","3311","3311","3311","","","","","",""
"21738688","","","","","","","","","","","","","870","870","870"
"21738944","","","","5000","5000","5000","","","","","","","","",""
"21739328","","","","","","","2982","2982","2982","","","","","",""
"21739712","","","","","","","","","","2339","2339","2339","","",""
"21740928","","","","","","","5000","5000","5000","","","","","",""
"21741312","","","","","","","","","","","","","324","324","324"
"21741888","","","","4695","4695","4695","","","","","","","","",""
"21742656","","","","","","","","","","","","","181","181","181"
"21743552","","","","","","","","","","","","","153","153","153"
"21743680","3738","3738","3738","","","","","","","","","","","",""
"21744768","","","","","","","","","","","","","509","509","509"
"21744832","","","","","","","","","","2758","2758","2758","","",""
"21746816","","","","","","","","","","","","","364","364","364"
"21747328","","","","","","","5000","5000","5000","","","","","",""
"21747456","5000","5000","5000","","","","","","","","","","","",""
"21748992","","","","","","","","","","","","","284","284","284"
"21749504","","","","","","","5000","5000","5000","","","","","",""
"21749696","","","","","","","","","","","","","332","332","332"
"21749824","","","","","","","","","","","","","350","350","350"
"21749888","","","","","","","","","","","","","185","185","185"
"21750208","","","","","","","","","","4626","4626","4626","","",""
"21750592","","","","","","","2847","2847","2847","","","","","",""
"21750912","5000","5000","5000","","","","","","","","","","","",""
"21751744","","","","","","","","","","","","","478","478","478"
"21752768","","","","","","","","","","","","","253","253","253"
"21753728","","","","","","","","","","4305","4305","4305","","",""
"21753856","","","","","","","2893","2893","2893","","","","","",""
"21753920","","","","","","","","","","","","","169","169","169"
"21754688","5000","5000","5000","","","","","","","","","","","",""
"21754816","","","","","","","5000","5000","5000","","","","","",""
"21754880","","","","","","","","","","","","","381","381","381"
"21755008","","","","","","","2822","2822","2822","","","","","",""
"21755072","","","","4525","4525","4525","","","","","","","","",""
"21755456","","","","","","","","","","","","","87","87","87"
"21755520","","","","","","","","","","878","878","878","","",""
"21755584","","","","5000","5000","5000","","","","","","","","",""
"21755968","5000","5000","5000","","","","","","","","","","","",""
"21756096","","","","3430","3430","3430","","","","","","","","",""
"21756288","","","","","","","","","","786","786","786","","",""
"21756544","","","","","","","1719","1719","1719","","","","","",""
"21758848","","","","","","","","","","","","","253","253","253"
"21758912","","","","","","","","","","","","","127","127","127"
"21759616","","","","5000","5000","5000","","","","","","","","",""
"21759680","","","","","","","","","","1760","1760","1760","","",""
"21760320","","","","","","","731","731","731","","","","","",""
"21760448","5000","5000","5000","","","","","","","","","","","",""
"21761024","5000","5000","5000","","","","","","","","","","","",""
"21761856","","","","","","","","","","1843","1843","1843","","",""
"21761920","","","","","","","","","","","","","1225","1225","1225"
"21762304","","","","","","","","","","","","","608","608","608"
"21762560","","","","5000","5000","5000","","","","","","","","",""
"21763328","","","","","","","","","","2461","2461","2461","","",""
"21763584","","","","4065","4065","4065","","","","","","","","",""
"21763648","","","","","","","","","","1344","1344","1344","","",""
"21763968","","","","","","","2250","2250","2250","","","","","",""
"21764096","","","","1618","1618","1618","","","","","","","","",""
"21764160","","","","","","","3101","3101","3101","","","","","",""
"21764928","","","","","","","375","375","375","","","","","",""
"21765504","4938","4938","4938","","","","","","","","","","292","292","292"
"21765760","","","","5000","5000","5000","","","","","","","","",""
"21766592","","","","","","","","","","","","","221","221","221"
"21768192","","","","","","","","","","5000","5000","5000","","",""
"21768640","","","","","","","","","","","","","604","604","604"
"21769088","","","","5000","5000","5000","","","","","","","","",""
"21769344","","","","","","","","","","644","644","644","","",""
"21770304","","","","","","","","","","","","","274","274","274"
"21770496","","","","","","","","","","","","","137","137","137"
"21770752","","","","","","","","","","2362","2362","2362","","",""
"21771456","","","","","","","2958","2958","2958","","","","","",""
"21771776","5000","5000","5000","","","","","","","1407","1407","1407","","",""
"21772096","","","","","","","","","","","","","353","353","353"
"21772160","","","","","","","","","","1882","1882","1882","","",""
"21772480","","","","","","","","","","","","","123","123","123"
"21774400","","","","","","","1699","1699","1699","","","","","",""
"21775040","","","","","","","","","","1123","1123","1123","","",""
"21775168","","","","","","","","","","4449","4449","4449","","",""
"21775360","","","","","","","","","","890","890","890","","",""
"21775616","","","","","","","","","","","","","372","372","372"
"21775744","","","","","","","5000","5000","5000","","","","","",""
"21776896","","","","","","","5000","5000","5000","","","","","",""
"21777856","","","","4261","4261","4261","","","","","","","","",""
"21777984","","","","4162","4162","4162","","","","","","","","",""
"21778432","","","","","","","","","","","","","272","272","272"
"21779072","3681","3681","3681","","","","","","","","","","","",""
"21779200","","","","5000","5000","5000","","","","","","","","",""
"21780352","","","","5000","5000","5000","","","","","","","","",""
"21780416","","","","","","","","","","","","","561","561","561"
"21782272","","","","5000","5000","5000","","","","","","","","",""
"21782656","","","","","","","","","","3674","3674","3674","","",""
"21782912","","","","","","","","","","2633","2633","2633","","",""
"21783232","","","","","","","1861","1861","1861","","","","","",""
"21783296","","","","","","","","","","1138","1138","1138","","",""
"21783808","","","","","","","","","","315","315","315","245","245","245"
"21783872","5000","5000","5000","","","","","","","","","","","",""
"21784128","","","","","","","","","","","","","394","394","394"
"21784192","2391","2391","2391","","","","","","","","","","","",""
"21784256","","","","","","","","","","5000","5000","5000","","",""
"21784896","","","","466","466","466","","","","","","","","",""
"21785088","","","","","","","","","","","","","197","197","197"
"21785152","","","","","","","","","","","","","203","203","203"
"21786560","","","","","","","","","","","","","255","255","255"
"21788096","","","","1351","1351","1351","","","","","","","","",""
"21788480","","","","","","","","","","3294","3294","3294","","",""
"21789696","","","","5000","5000","5000","","","","","","","","",""
"21790080","","","","","","","","","","","","","222","222","222"
"21790208","","","","","","","","","","789","789","789","","",""
"21790976","2724","2724","2724","","","","","","","","","","","",""
"21791360","","","","5000","5000","5000","","","","","","","474","474","474"
"21791872","","","","","","","2357","2357","2357","","","","","",""
"21791936","","","","5000","5000","5000","","","","","","","","",""
"21792128","","","","5000","5000","5000","","","","","","","","",""
"21792448","","","","","","","","","","","","","468","468","468"
"21793088","4888","4888","4888","","","","","","","","","","","",""
"21793280","","","","","","","","","","1145","1145","1145","","",""
"21793600","","","","","","","","","","1648","1648","1648","","",""
"21793856","","","","","","","","","","","","","136","136","136"
"21794112","","","","3242","3242","3242","","","","","","","","",""
"21794624","","","","","","","","","","","","","216","216","216"
"21794688","","","","","","","2048","2048","2048","","","","","",""
"21794752","","","","","","","","","","","","","320","320","320"
"21795968","","","","","","","1982","1982","1982","","","","939","939","939"
"21796032","5000","5000","5000","","","","","","","","","","","",""
"21796544","","","","5000","5000","5000","","","","","","","","",""
"21796608","","","","","","","","","","444","444","444","","",""
"21796992","","","","","","","2632","2632","2632","","","","","",""
"21797184","","","","","","","","","","","","","189","189","189"
"21797888","","","","","","","367","367","367","2125","2125","2125","","",""
"21798080","","","","","","","","","","2306","2306","2306","","",""
"21798336","","","","","","","4742","4742","4742","","","","","",""
"21798400","","","","","","","","","","","","","407","407","407"
"21799616","","","","","","","5000","5000","5000","","","","178","178","178"
"21801024","","","","","","","","","","","","","643","643","643"
"21804160","","","","","","","","","","","","","200","200","200"
"21806912","","","","","","","","","","4390","4390","4390","","",""
"21807040","","","","","","","","","","3662","3662","3662","","",""
"21807296","","","","","","","820","820","820","","","","","",""
"21807616","","","","","","","","","","","","","114","114","114"
"21808832","","","","1696","1696","1696","","","","","","","","",""
"21808896","","","","5000","5000","5000","","","","","","","","",""
"21809472","","","","","","","","","","","","","211","211","211"
"21810112","","","","5000","5000","5000","","","","","","","","",""
"21810240","","","","","","","","","","","","","536","536","536"
"21810304","","","","","","","","","","","","","345","345","345"
"21810432","","","","","","","","","","2751","2751","2751","","",""
"21810496","","","","4559","4559","4559","","","","","","","","",""
"21810560","","","","","","","","","","436","436","436","","",""
"21810624","","","","","","","","","","1579","1579","1579","","",""
"21810752","","","","5000","5000","5000","","","","","","","","",""
"21811392","","","","5000","5000","5000","","","","","","","","",""
"21811520","","","","","","","","","","","","","292","292","292"
"21811584","","","","","","","","","","","","","213","213","213"
"21812800","","","","","","","","","","","","","281","281","281"
"21813184","","","","","","","5000","5000","5000","","","","","",""
"21813952","","","","2423","2423","2423","","","","","","","","",""
"21814016","4365","4365","4365","","","","","","","","","","","",""
"21814336","","","","","","","","","","470","470","470","","",""
"21814464","","","","2019","2019","2019","","","","","","","","",""
"21815552","","","","","","","","","","","","","778","778","778"
"21816192","","","","2997","2997","2997","","","","","","","1400","1400","1400"
"21816704","","","","","","","","","","","","","379","379","379"
"21817408","","","","","","","","","","","","","652","652","652"
"21817920","","","","","","","","","","1849","1849","1849","","",""
"21818176","","","","","","","","","","","","","240","240","240"
"21819136","5000","5000","5000","","","","","","","","","","","",""
"21819456","","","","","","","","","","3081","3081","3081","","",""
"21820160","","","","","","","","","","","","","359","359","359"
"21820224","","","","","","","","","","","","","136","136","136"
"21820288","","","","5000","5000","5000","","","","","","","906","906","906"
"21820544","","","","3153","3153","3153","","","","","","","","",""
"21821056","","","","5000","5000","5000","","","","","","","","",""
"21822016","","","","","","","","","","","","","448","448","448"
"21822336","","","","","","","","","","602","602","602","","",""
"21822592","1571","1571","1571","","","","","","","","","","","",""
"21823424","5000","5000","5000","","","","","","","","","","","",""
"21823808","","","","5000","5000","5000","","","","477","477","477","","",""
"21823936","","","","","","","","","","764","764","764","","",""
"21824448","","","","","","","","","","950","950","950","","",""
"21825280","","","","","","","","","","","","","330","330","330"
"21825408","5000","5000","5000","","","","","","","","","","","",""
"21828800","","","","","","","","","","","","","742","742","742"
"21828864","","","","","","","","","","3232","3232","3232","","",""
"21829120","","","","","","","","","","","","","479","479","479"
"21829248","","","","","","","","","","","","","621","621","621"
"21829440","","","","","","","","","","","","","244","244","244"
"21829632","","","","","","","","","","","","","325","325","325"
"21830016","","","","","","","","","","361","361","361","","",""
"21830592","","","","","","","4478","4478","4478","","","","","",""
"21830976","","","","","","","","","","","","","205","205","205"
"21831616","","","","","","","2081","2081","2081","","","","","",""
"21831936","","","","","","","","","","4453","4453","4453","","",""
"21832192","","","","","","","","","","","","","186","186","186"
"21832256","1720","1720","1720","","","","","","","","","","","",""
"21832768","","","","","","","","","","3120","3120","3120","","",""
