"Step","a3c_runseed=4 - training/episode/length","a3c_runseed=4 - training/episode/length__MIN","a3c_runseed=4 - training/episode/length__MAX","a3c_runseed=3 - training/episode/length","a3c_runseed=3 - training/episode/length__MIN","a3c_runseed=3 - training/episode/length__MAX","a3c_runseed=2 - training/episode/length","a3c_runseed=2 - training/episode/length__MIN","a3c_runseed=2 - training/episode/length__MAX","a3c_runseed=1 - training/episode/length","a3c_runseed=1 - training/episode/length__MIN","a3c_runseed=1 - training/episode/length__MAX","a3c_runseed=0 - training/episode/length","a3c_runseed=0 - training/episode/length__MIN","a3c_runseed=0 - training/episode/length__MAX"
"218432","","","","","","","","","","3414","3414","3414","","",""
"230016","","","","","","","","","","","","","3595","3595","3595"
"231936","","","","3625","3625","3625","","","","","","","","",""
"232000","","","","","","","","","","","","","3626","3626","3626"
"232512","","","","","","","","","","","","","952","952","952"
"235520","","","","3681","3681","3681","","","","","","","","",""
"235712","","","","","","","1622","1622","1622","","","","","",""
"236416","","","","","","","","","","","","","2472","2472","2472"
"238976","","","","","","","","","","","","","3735","3735","3735"
"241792","3779","3779","3779","","","","","","","","","","","",""
"244480","","","","","","","","","","3821","3821","3821","","",""
"245440","","","","","","","","","","","","","3836","3836","3836"
"268032","2159","2159","2159","","","","","","","","","","","",""
"273472","","","","","","","","","","4274","4274","4274","","",""
"277184","","","","","","","4332","4332","4332","","","","","",""
"277824","","","","","","","","","","","","","2243","2243","2243"
"282368","","","","","","","","","","","","","4413","4413","4413"
"284736","","","","","","","","","","","","","1650","1650","1650"
"285440","4461","4461","4461","","","","","","","","","","","",""
"287552","","","","","","","","","","4494","4494","4494","","",""
"288640","4511","4511","4511","","","","","","","","","","","",""
"294656","","","","","","","","","","","","","2529","2529","2529"
"297408","","","","1944","1944","1944","","","","","","","","",""
"300032","","","","","","","4689","4689","4689","","","","","",""
"300288","","","","","","","","","","","","","2499","2499","2499"
"304448","","","","","","","","","","4758","4758","4758","","",""
"304768","","","","","","","","","","1484","1484","1484","","",""
"308032","","","","","","","","","","","","","4814","4814","4814"
"314304","","","","","","","","","","","","","4912","4912","4912"
"316480","","","","4946","4946","4946","","","","","","","","",""
"317952","","","","","","","","","","2339","2339","2339","","",""
"319936","","","","5000","5000","5000","5000","5000","5000","","","","5000","5000","5000"
"321472","","","","","","","4408","4408","4408","","","","","",""
"322496","","","","","","","","","","","","","2997","2997","2997"
"323840","","","","","","","3135","3135","3135","","","","","",""
"325824","","","","","","","","","","1412","1412","1412","","",""
"326528","","","","","","","","","","","","","2725","2725","2725"
"331520","181","181","181","","","","","","","","","","","",""
"333696","3361","3361","3361","","","","","","","","","","","",""
"336448","","","","","","","4691","4691","4691","","","","","",""
"338048","","","","","","","1998","1998","1998","","","","","",""
"346496","","","","","","","","","","","","","415","415","415"
"346944","1643","1643","1643","","","","","","","","","","","",""
"349376","","","","5000","5000","5000","","","","","","","","",""
"349568","","","","","","","779","779","779","","","","","",""
"357824","","","","","","","","","","","","","1738","1738","1738"
"358080","","","","3949","3949","3949","","","","","","","","",""
"358656","","","","","","","","","","605","605","605","","",""
"358976","610","610","610","","","","","","","","","","","",""
"360128","","","","3172","3172","3172","","","","","","","","",""
"361216","3467","3467","3467","","","","","","","","","","","",""
"363904","","","","","","","","","","687","687","687","","",""
"366272","","","","","","","","","","724","724","724","","",""
"374976","","","","","","","2372","2372","2372","","","","","",""
"375296","","","","","","","","","","","","","1051","1051","1051"
"376256","","","","","","","","","","4146","4146","4146","","",""
"381824","4491","4491","4491","","","","","","","","","","","",""
"383616","","","","","","","","","","5000","5000","5000","","",""
"385152","","","","","","","","","","","","","5000","5000","5000"
"385408","","","","","","","","","","5000","5000","5000","","",""
"387200","","","","","","","","","","1051","1051","1051","","",""
"389824","","","","","","","","","","","","","2458","2458","2458"
"391360","","","","","","","","","","","","","5000","5000","5000"
"392704","1142","1142","1142","","","","","","","","","","","",""
"393472","","","","","","","","","","5000","5000","5000","","",""
"394816","5000","5000","5000","","","","","","","","","","","",""
"394944","","","","","","","","","","1172","1172","1172","","",""
"396032","","","","","","","","","","1097","1097","1097","","",""
"398016","","","","","","","757","757","757","","","","","",""
"402368","","","","","","","","","","","","","1288","1288","1288"
"402752","","","","1294","1294","1294","","","","","","","","",""
"408064","1733","1733","1733","","","","","","","","","","","",""
"408960","","","","","","","","","","","","","5000","5000","5000"
"410624","","","","","","","","","","","","","2096","2096","2096"
"413824","","","","","","","1406","1406","1406","","","","","",""
"415232","2584","2584","2584","","","","","","","","","","","",""
"416832","","","","","","","","","","","","","5000","5000","5000"
"419840","","","","1561","1561","1561","","","","","","","","",""
"420416","","","","","","","5000","5000","5000","","","","","",""
"422016","","","","","","","","","","5000","5000","5000","","",""
"423488","","","","5000","5000","5000","5000","5000","5000","","","","","",""
"428608","","","","4862","4862","4862","","","","","","","","",""
"431104","","","","","","","1737","1737","1737","","","","","",""
"432768","5000","5000","5000","","","","","","","","","","","",""
"436928","","","","","","","","","","","","","1828","1828","1828"
"438080","","","","1846","1846","1846","","","","","","","","",""
"438784","","","","","","","","","","","","","2515","2515","2515"
"447552","","","","","","","","","","","","","706","706","706"
"452032","2603","2603","2603","","","","","","","","","","","",""
"452608","","","","2073","2073","2073","","","","","","","","",""
"455232","","","","","","","","","","5000","5000","5000","","",""
"458560","1643","1643","1643","","","","","","","","","","","",""
"462528","","","","","","","","","","4202","4202","4202","","",""
"464064","","","","","","","5000","5000","5000","","","","","",""
"464512","","","","","","","5000","5000","5000","","","","","",""
"465280","","","","","","","","","","2271","2271","2271","","",""
"467008","","","","","","","","","","","","","2298","2298","2298"
"468096","","","","","","","5000","5000","5000","","","","","",""
"468736","","","","","","","","","","3051","3051","3051","","",""
"468800","","","","2326","2326","2326","","","","","","","","",""
"473408","","","","","","","","","","","","","1533","1533","1533"
"475456","","","","","","","","","","","","","2430","2430","2430"
"475840","","","","","","","","","","","","","5000","5000","5000"
"480512","","","","","","","","","","","","","1118","1118","1118"
"483328","","","","","","","","","","","","","5000","5000","5000"
"484160","","","","","","","1703","1703","1703","","","","","",""
"487296","","","","","","","","","","5000","5000","5000","","",""
"489088","2643","2643","2643","","","","","","","","","","","",""
"491072","","","","","","","","","","1516","1516","1516","","",""
"491904","","","","","","","","","","5000","5000","5000","","",""
"493120","5000","5000","5000","","","","","","","","","","","",""
"494272","5000","5000","5000","","","","","","","","","","","",""
"494528","","","","2728","2728","2728","","","","","","","","",""
"497792","","","","","","","","","","2779","2779","2779","2779","2779","2779"
"498816","","","","","","","","","","2795","2795","2795","","",""
"499008","","","","","","","5000","5000","5000","","","","","",""
"500736","4860","4860","4860","","","","","","","","","","","",""
"500800","","","","","","","","","","","","","2826","2826","2826"
"506240","","","","","","","","","","","","","4709","4709","4709"
"512896","","","","","","","","","","","","","506","506","506"
"514560","1739","1739","1739","","","","","","","","","","","",""
"517696","","","","","","","","","","","","","1998","1998","1998"
"519232","","","","","","","5000","5000","5000","","","","","",""
"520576","","","","","","","","","","","","","1109","1109","1109"
"523584","","","","","","","","","","1019","1019","1019","","",""
"528064","","","","","","","","","","981","981","981","","",""
"528128","","","","","","","","","","3253","3253","3253","","",""
"528320","","","","","","","","","","","","","3806","3806","3806"
"529536","","","","","","","","","","4861","4861","4861","","",""
"533696","5000","5000","5000","","","","","","","","","","","",""
"534528","","","","","","","3228","3228","3228","","","","","",""
"535168","","","","1037","1037","1037","","","","","","","","",""
"539904","","","","","","","","","","","","","3437","3437","3437"
"545920","","","","5000","5000","5000","","","","","","","","",""
"547456","","","","","","","","","","3586","3586","3586","","",""
"550528","2993","2993","2993","","","","","","","","","","","",""
"550720","","","","5000","5000","5000","","","","","","","","",""
"552000","","","","","","","","","","","","","5000","5000","5000"
"552896","","","","","","","","","","2617","2617","2617","","",""
"556416","","","","","","","","","","","","","5000","5000","5000"
"557568","","","","","","","2095","2095","2095","","","","","",""
"557888","893","893","893","","","","","","","","","","","",""
"558272","","","","3724","3724","3724","","","","","","","","",""
"561984","","","","","","","","","","3782","3782","3782","","",""
"568128","","","","","","","525","525","525","","","","","",""
"569408","","","","","","","","","","","","","4205","4205","4205"
"571520","2047","2047","2047","","","","","","","","","","","",""
"572096","","","","","","","3940","3940","3940","","","","","",""
"574144","707","707","707","","","","","","","","","","","",""
"575808","957","957","957","","","","","","","","","","","",""
"576064","","","","","","","","","","","","","4002","4002","4002"
"577152","","","","","","","4019","4019","4019","","","","","",""
"578432","","","","","","","2586","2586","2586","","","","","",""
"582208","","","","","","","","","","4098","4098","4098","","",""
"582464","","","","3148","3148","3148","","","","","","","","",""
"583808","","","","","","","","","","","","","5000","5000","5000"
"584576","","","","","","","","","","","","","2718","2718","2718"
"585728","","","","","","","","","","2803","2803","2803","","",""
"587200","","","","","","","","","","5000","5000","5000","","",""
"587392","","","","1307","1307","1307","","","","","","","","",""
"590016","","","","","","","","","","","","","5000","5000","5000"
"592128","","","","","","","","","","3816","3816","3816","","",""
"594176","4285","4285","4285","","","","","","","","","","","",""
"594496","","","","","","","1013","1013","1013","","","","","",""
"597248","","","","3705","3705","3705","","","","","","","","",""
"602688","","","","","","","","","","","","","5000","5000","5000"
"602816","","","","","","","","","","4420","4420","4420","","",""
"609408","","","","","","","645","645","645","","","","","",""
"611584","","","","","","","2305","2305","2305","","","","","",""
"611776","","","","4560","4560","4560","","","","","","","","",""
"615488","","","","","","","2359","2359","2359","","","","","",""
"623872","","","","","","","","","","3560","3560","3560","","",""
"624576","","","","","","","","","","","","","4760","4760","4760"
"632384","4667","4667","4667","","","","","","","","","","","",""
"633856","","","","","","","","","","","","","5000","5000","5000"
"634304","","","","","","","","","","","","","5000","5000","5000"
"634624","","","","","","","2823","2823","2823","","","","","",""
"638912","","","","","","","5000","5000","5000","","","","","",""
"639808","","","","","","","","","","","","","283","283","283"
"639936","","","","","","","5000","5000","5000","","","","5000","5000","5000"
"640896","","","","","","","","","","","","","3187","3187","3187"
"641408","","","","","","","","","","5000","5000","5000","","",""
"641920","","","","","","","","","","855","855","855","","",""
"643392","","","","","","","","","","2380","2380","2380","","",""
"644288","","","","5000","5000","5000","","","","","","","","",""
"644480","","","","635","635","635","","","","","","","","",""
"648576","","","","4902","4902","4902","","","","","","","","",""
"649728","","","","820","820","820","","","","","","","","",""
"652160","1825","1825","1825","","","","","","","","","","","",""
"655104","","","","","","","","","","","","","1541","1541","1541"
"655424","3253","3253","3253","","","","","","","","","","","",""
"657088","","","","","","","","","","","","","2870","2870","2870"
"657152","5000","5000","5000","","","","","","","","","","","",""
"657280","","","","1581","1581","1581","","","","","","","","",""
"658112","","","","","","","2204","2204","2204","","","","","",""
"660160","","","","316","316","316","","","","","","","","",""
"666432","","","","","","","4001","4001","4001","","","","","",""
"666496","","","","","","","","","","","","","5000","5000","5000"
"667072","","","","1245","1245","1245","","","","","","","","",""
"667840","","","","","","","","","","3208","3208","3208","","",""
"668480","","","","","","","","","","","","","5000","5000","5000"
"669568","","","","3617","3617","3617","","","","2210","2210","2210","","",""
"671040","","","","4201","4201","4201","","","","","","","","",""
"671552","","","","5000","5000","5000","","","","","","","","",""
"673024","","","","","","","4297","4297","4297","","","","","",""
"674112","","","","","","","","","","","","","2097","2097","2097"
"679040","","","","","","","","","","","","","1391","1391","1391"
"679808","","","","","","","","","","","","","5000","5000","5000"
"684224","","","","","","","","","","","","","692","692","692"
"686272","","","","","","","","","","5000","5000","5000","","",""
"689536","","","","704","704","704","","","","","","","","",""
"695552","","","","","","","","","","","","","869","869","869"
"696448","","","","","","","","","","883","883","883","","",""
"696512","","","","","","","","","","","","","4310","4310","4310"
"697600","","","","","","","","","","3981","3981","3981","","",""
"698240","5000","5000","5000","","","","","","","","","","","",""
"698944","","","","","","","","","","","","","5000","5000","5000"
"702272","","","","","","","","","","1721","1721","1721","","",""
"705152","5000","5000","5000","","","","","","","","","","","",""
"705216","","","","954","954","954","","","","","","","","",""
"706240","","","","","","","","","","1732","1732","1732","","",""
"706624","","","","","","","","","","","","","1432","1432","1432"
"708416","","","","","","","","","","","","","2068","2068","2068"
"709376","","","","","","","","","","5000","5000","5000","","",""
"711360","","","","","","","","","","","","","5000","5000","5000"
"712704","5000","5000","5000","","","","","","","","","","","",""
"713728","3626","3626","3626","","","","","","","","","","","",""
"714816","5000","5000","5000","","","","","","","","","","","",""
"714944","","","","","","","4640","4640","4640","5000","5000","5000","","",""
"718016","1870","1870","1870","","","","","","","","","","","",""
"718912","","","","","","","5000","5000","5000","","","","","",""
"722176","","","","","","","","","","","","","1285","1285","1285"
"725312","","","","","","","","","","","","","3244","3244","3244"
"725632","","","","1602","1602","1602","","","","","","","","",""
"727168","","","","","","","4947","4947","4947","","","","","",""
"728320","","","","","","","","","","5000","5000","5000","","",""
"730240","","","","1120","1120","1120","","","","","","","","",""
"731904","1437","1437","1437","","","","","","","","","","","",""
"732992","","","","","","","1897","1897","1897","","","","","",""
"733824","","","","","","","5000","5000","5000","","","","","",""
"733952","","","","5000","5000","5000","","","","","","","","",""
"736832","","","","","","","","","","","","","5000","5000","5000"
"737536","","","","","","","","","","5000","5000","5000","","",""
"738368","","","","","","","5000","5000","5000","","","","","",""
"738944","","","","","","","","","","5000","5000","5000","","",""
"742080","","","","","","","","","","","","","5000","5000","5000"
"743488","","","","5000","5000","5000","","","","","","","","",""
"744256","","","","","","","","","","","","","3615","3615","3615"
"745152","","","","","","","5000","5000","5000","","","","","",""
"747008","","","","","","","","","","","","","2068","2068","2068"
"748160","","","","5000","5000","5000","","","","","","","","",""
"761664","1589","1589","1589","","","","","","","","","","","",""
"764160","","","","3578","3578","3578","","","","","","","","",""
"765056","","","","","","","","","","","","","1915","1915","1915"
"769600","","","","","","","4228","4228","4228","","","","","",""
"770624","","","","","","","","","","1308","1308","1308","","",""
"771072","","","","","","","","","","","","","2863","2863","2863"
"772032","5000","5000","5000","","","","","","","","","","","",""
"773504","","","","","","","","","","","","","2705","2705","2705"
"774336","","","","","","","","","","2276","2276","2276","","",""
"775808","","","","","","","","","","","","","3988","3988","3988"
"776000","","","","","","","","","","","","","4519","4519","4519"
"776064","","","","","","","","","","","","","2127","2127","2127"
"776128","","","","","","","","","","5000","5000","5000","","",""
"778368","2163","2163","2163","","","","","","","","","","","",""
"778560","5000","5000","5000","","","","","","","","","","","",""
"780928","","","","","","","","","","","","","3080","3080","3080"
"781696","2215","2215","2215","","","","","","","","","","","",""
"782400","","","","","","","","","","","","","2226","2226","2226"
"784960","","","","5000","5000","5000","","","","","","","","",""
"787008","","","","","","","","","","","","","5000","5000","5000"
"787456","","","","","","","","","","4325","4325","4325","","",""
"790080","","","","","","","","","","2346","2346","2346","","",""
"792128","","","","","","","3122","3122","3122","","","","","",""
"795264","","","","","","","","","","1964","1964","1964","","",""
"795840","","","","","","","","","","","","","5000","5000","5000"
"796160","","","","","","","704","704","704","","","","","",""
"796672","","","","","","","","","","3296","3296","3296","","",""
"797888","","","","","","","","","","5000","5000","5000","","",""
"798464","","","","1983","1983","1983","","","","","","","","",""
"799040","","","","","","","1072","1072","1072","","","","","",""
"799296","3887","3887","3887","","","","","","","","","","","",""
"803072","","","","2190","2190","2190","","","","","","","","",""
"803328","","","","","","","","","","","","","5000","5000","5000"
"804160","","","","","","","5000","5000","5000","","","","","",""
"806912","","","","","","","","","","2316","2316","2316","","",""
"808576","1498","1498","1498","","","","","","","","","","","",""
"809088","","","","","","","2643","2643","2643","","","","","",""
"811072","","","","","","","","","","632","632","632","","",""
"811840","","","","","","","371","371","371","","","","","",""
"812096","2151","2151","2151","","","","","","","","","","","",""
"812352","","","","","","","5000","5000","5000","","","","","",""
"817792","","","","","","","","","","5000","5000","5000","","",""
"820800","","","","","","","","","","","","","5000","5000","5000"
"822464","","","","","","","","","","","","","729","729","729"
"825408","","","","","","","","","","3399","3399","3399","","",""
"826112","","","","","","","","","","2886","2886","2886","","",""
"827904","","","","1376","1376","1376","","","","","","","","",""
"830336","2988","2988","2988","","","","","","","","","","","",""
"836992","","","","","","","3291","3291","3291","","","","","",""
"837888","","","","1624","1624","1624","","","","","","","","",""
"838016","","","","","","","","","","3095","3095","3095","","",""
"842880","","","","","","","","","","3422","3422","3422","","",""
"843264","","","","","","","","","","","","","1222","1222","1222"
"843584","","","","","","","","","","5000","5000","5000","","",""
"848320","","","","","","","","","","2261","2261","2261","5000","5000","5000"
"849536","","","","","","","","","","5000","5000","5000","","",""
"850048","","","","5000","5000","5000","","","","","","","","",""
"854272","","","","4247","4247","4247","","","","","","","","",""
"856768","","","","","","","","","","","","","1715","1715","1715"
"859136","","","","","","","","","","","","","4290","4290","4290"
"860928","","","","","","","","","","","","","3453","3453","3453"
"862080","","","","","","","","","","","","","560","560","560"
"862464","","","","","","","","","","","","","3477","3477","3477"
"862528","","","","","","","","","","","","","5000","5000","5000"
"864192","429","429","429","","","","","","","","","","","",""
"864448","","","","","","","","","","","","","4915","4915","4915"
"865152","","","","","","","","","","","","","1923","1923","1923"
"866240","","","","","","","","","","","","","1906","1906","1906"
"866432","","","","","","","","","","5000","5000","5000","","",""
"869760","4306","4306","4306","","","","","","","","","","","",""
"872960","","","","","","","","","","2094","2094","2094","","",""
"874816","","","","","","","","","","919","919","919","","",""
"876416","","","","","","","","","","","","","5000","5000","5000"
"877888","5000","5000","5000","","","","","","","","","","","",""
"879744","1683","1683","1683","","","","","","","","","","","",""
"879936","","","","","","","3750","3750","3750","","","","","",""
"881984","","","","","","","","","","5000","5000","5000","","",""
"882496","","","","","","","","","","","","","3256","3256","3256"
"884480","","","","","","","","","","5000","5000","5000","","",""
"885312","","","","","","","3834","3834","3834","","","","","",""
"885440","5000","5000","5000","","","","","","","","","","","",""
"888000","1974","1974","1974","","","","","","","","","","","",""
"889024","","","","","","","","","","","","","1339","1339","1339"
"889472","","","","","","","3899","3899","3899","","","","","",""
"892096","","","","","","","5000","5000","5000","","","","","",""
"892672","1783","1783","1783","","","","","","","","","","","",""
"894400","","","","","","","","","","","","","1889","1889","1889"
"896256","4005","4005","4005","","","","","","","","","","","",""
"905216","","","","","","","4145","4145","4145","","","","","",""
"905984","","","","","","","","","","4157","4157","4157","","",""
"906432","","","","","","","3750","3750","3750","","","","","",""
"906880","","","","","","","","","","","","","4173","4173","4173"
"908800","","","","5000","5000","5000","","","","","","","","",""
"910208","","","","","","","","","","","","","752","752","752"
"912832","3147","3147","3147","","","","","","","","","","","",""
"913088","","","","","","","","","","","","","5000","5000","5000"
"913280","","","","1506","1506","1506","","","","","","","","",""
"914496","","","","","","","5000","5000","5000","","","","","",""
"915712","2248","2248","2248","","","","","","","","","","","",""
"918464","","","","","","","1611","1611","1611","","","","","",""
"920448","","","","","","","","","","3648","3648","3648","","",""
"926528","346","346","346","","","","","","","","","","","",""
"932096","","","","5000","5000","5000","2768","2768","2768","","","","","",""
"932224","","","","","","","","","","","","","4210","4210","4210"
"932480","","","","","","","","","","","","","2714","2714","2714"
"932608","","","","","","","1341","1341","1341","","","","","",""
"938176","","","","","","","","","","5000","5000","5000","","",""
"939264","","","","","","","5000","5000","5000","","","","","",""
"940928","","","","","","","2009","2009","2009","","","","","",""
"942016","","","","","","","2694","2694","2694","","","","","",""
"946176","","","","","","","4785","4785","4785","","","","","",""
"950848","","","","5000","5000","5000","","","","","","","","",""
"953856","","","","","","","","","","","","","5000","5000","5000"
"954880","","","","","","","","","","501","501","501","","",""
"955584","","","","","","","","","","2278","2278","2278","","",""
"959936","5000","5000","5000","","","","5000","5000","5000","","","","","",""
"962304","","","","","","","5000","5000","5000","","","","","",""
"963008","","","","5000","5000","5000","","","","","","","","",""
"963392","","","","","","","","","","5000","5000","5000","","",""
"964992","","","","","","","","","","2916","2916","2916","","",""
"966336","","","","","","","","","","1002","1002","1002","","",""
"972032","5000","5000","5000","","","","","","","","","","","",""
"973312","","","","2943","2943","2943","","","","","","","","",""
"975104","","","","","","","","","","","","","5000","5000","5000"
"975424","","","","","","","","","","5000","5000","5000","","",""
"978304","","","","","","","","","","675","675","675","","",""
"980160","","","","5000","5000","5000","","","","","","","","",""
"980416","","","","","","","","","","","","","753","753","753"
"980928","","","","1604","1604","1604","","","","","","","","",""
"984192","","","","2984","2984","2984","","","","","","","","",""
"988544","","","","","","","","","","","","","447","447","447"
"988800","","","","","","","774","774","774","","","","","",""
"989568","","","","5000","5000","5000","","","","","","","","",""
"989760","","","","3186","3186","3186","","","","","","","","",""
"990144","","","","","","","","","","","","","1998","1998","1998"
"1000960","5000","5000","5000","","","","","","","","","","","",""
"1002112","","","","","","","","","","","","","1767","1767","1767"
"1004224","","","","","","","","","","","","","5000","5000","5000"
"1005440","","","","","","","","","","2299","2299","2299","","",""
"1006592","","","","","","","","","","","","","5000","5000","5000"
"1009216","4859","4859","4859","","","","","","","","","","","",""
"1009536","","","","","","","","","","","","","2267","2267","2267"
"1013824","","","","","","","","","","","","","3793","3793","3793"
"1015424","","","","","","","","","","","","","1599","1599","1599"
"1016768","","","","","","","","","","","","","4310","4310","4310"
"1017600","","","","","","","","","","5000","5000","5000","","",""
"1018624","","","","","","","4180","4180","4180","","","","","",""
"1018944","","","","","","","","","","","","","5000","5000","5000"
"1020288","","","","","","","2109","2109","2109","","","","","",""
"1023936","","","","5000","5000","5000","","","","","","","2612","2612","2612"
"1026624","","","","","","","","","","","","","2589","2589","2589"
"1027200","","","","","","","","","","5000","5000","5000","","",""
"1027584","","","","","","","","","","","","","2579","2579","2579"
"1028416","","","","","","","","","","","","","5000","5000","5000"
"1031360","","","","436","436","436","","","","","","","","",""
"1031488","","","","","","","","","","3669","3669","3669","","",""
"1031744","","","","","","","","","","2278","2278","2278","","",""
"1032448","","","","","","","","","","3038","3038","3038","","",""
"1033088","","","","872","872","872","","","","","","","","",""
"1033728","5000","5000","5000","","","","","","","","","","","",""
"1033984","","","","","","","","","","3010","3010","3010","","",""
"1034816","","","","1969","1969","1969","","","","","","","","",""
"1034944","","","","","","","","","","5000","5000","5000","","",""
"1037568","","","","","","","","","","2961","2961","2961","","",""
"1038656","","","","","","","","","","","","","3932","3932","3932"
"1038912","","","","","","","5000","5000","5000","","","","","",""
"1039040","","","","","","","","","","","","","2436","2436","2436"
"1040448","981","981","981","","","","","","","","","","","",""
"1040512","","","","","","","","","","4063","4063","4063","","",""
"1040768","","","","","","","","","","","","","5000","5000","5000"
"1040832","","","","","","","","","","","","","2714","2714","2714"
"1041344","","","","5000","5000","5000","","","","","","","","",""
"1043392","2849","2849","2849","","","","","","","","","","","",""
"1045312","","","","","","","","","","","","","5000","5000","5000"
"1045952","","","","","","","1490","1490","1490","","","","","",""
"1049088","4110","4110","4110","","","","","","","","","","","",""
"1050240","","","","5000","5000","5000","","","","","","","","",""
"1051904","5000","5000","5000","","","","","","","","","","","",""
"1052160","","","","4500","4500","4500","","","","","","","","",""
"1053312","","","","","","","3120","3120","3120","","","","","",""
"1053632","","","","","","","","","","2317","2317","2317","","",""
"1055232","","","","","","","3747","3747","3747","","","","","",""
"1056448","1382","1382","1382","","","","","","","","","","","",""
"1056832","","","","","","","","","","","","","5000","5000","5000"
"1062272","","","","","","","","","","","","","1316","1316","1316"
"1063040","1003","1003","1003","","","","","","","","","","","",""
"1063488","","","","5000","5000","5000","","","","","","","","",""
"1064128","","","","","","","","","","","","","2659","2659","2659"
"1064576","","","","","","","","","","1975","1975","1975","","",""
"1068352","","","","1789","1789","1789","","","","","","","","",""
"1075136","2858","2858","2858","","","","","","","","","","","",""
"1078656","","","","","","","","","","","","","3333","3333","3333"
"1079616","","","","","","","","","","","","","2290","2290","2290"
"1080448","","","","","","","5000","5000","5000","","","","","",""
"1081856","5000","5000","5000","","","","","","","5000","5000","5000","","",""
"1082752","","","","","","","","","","1998","1998","1998","","",""
"1085376","","","","","","","5000","5000","5000","","","","","",""
"1091264","5000","5000","5000","","","","","","","","","","","",""
"1092224","","","","","","","491","491","491","","","","","",""
"1092416","","","","5000","5000","5000","","","","","","","","",""
"1092608","","","","5000","5000","5000","","","","","","","","",""
"1096064","","","","","","","","","","","","","5000","5000","5000"
"1096128","","","","","","","","","","5000","5000","5000","","",""
"1096384","","","","","","","","","","","","","3296","3296","3296"
"1098368","5000","5000","5000","","","","","","","","","","","",""
"1100608","","","","5000","5000","5000","","","","","","","","",""
"1100992","3375","3375","3375","","","","","","","","","","","",""
"1101696","5000","5000","5000","","","","","","","","","","","",""
"1102208","","","","","","","2650","2650","2650","","","","","",""
